ID,題目名稱,分類,難易度,分數,作者,全站解出人數,個人完成狀態,事件/出處
245,"PW Crack 1","General Skills",1,25,"LT 'syreal' Jones",83990,未完成,"Beginner picoMini 2022"
243,"HashingJobApp","General Skills",1,40,"LT 'syreal' Jones",58895,未完成,"Beginner picoMini 2022"
242,"Glitch Cat","General Skills",1,30,"LT 'syreal' Jones",62755,未完成,"Beginner picoMini 2022"
241,"fixme2.py","General Skills",1,25,"LT 'syreal' Jones",68870,未完成,"Beginner picoMini 2022"
240,"fixme1.py","General Skills",1,25,"LT 'syreal' Jones",71303,未完成,"Beginner picoMini 2022"
239,"convertme.py","General Skills",1,15,"LT 'syreal' Jones",78501,未完成,"Beginner picoMini 2022"
238,"Codebook","General Skills",1,20,"LT 'syreal' Jones",65951,未完成,"Beginner picoMini 2022"
189,"Magikarp Ground Mission","General Skills",1,30,"syreal",102404,未完成,"picoCTF 2021"
186,"information","Forensics",1,10,"susie",148381,未完成,"picoCTF 2021"
176,"Tab, Tab, Attack","General Skills",1,20,"syreal",130202,未完成,"picoCTF 2021"
173,"Cookies","Web Exploitation",1,40,"madStacks",107198,未完成,"picoCTF 2021"
170,"Wave a flag","General Skills",1,10,"syreal",213641,未完成,"picoCTF 2021"
163,"Static ain't always noise","General Skills",1,20,"syreal",100450,未完成,"picoCTF 2021"
161,"Scavenger Hunt","Web Exploitation",1,50,"madStacks",88339,未完成,"picoCTF 2021"
156,"Nice netcat...","General Skills",1,15,"syreal",160433,未完成,"picoCTF 2021"
147,"Obedient Cat","General Skills",1,5,"syreal",360252,未完成,"picoCTF 2021"
144,"Mod 26","Cryptography",1,10,"Pandu",312521,未完成,"picoCTF 2021"
132,"GET aHEAD","Web Exploitation",1,20,"madStacks",119228,未完成,"picoCTF 2021"
104,"Transformation","Reverse Engineering",1,20,"madStacks",76330,未完成,"picoCTF 2021"
