Category,Title,Room Code,Tier,Difficulty,URL
Security Labs & CTF,Ra2,ra2,🟢 FREE,Practitioner,https://tryhackme.com/room/ra2
Security Labs & CTF,Raz0Rblack,raz0rblack,🟢 FREE,Practitioner,https://tryhackme.com/room/raz0rblack
Security Labs & CTF,Res,res,🟢 FREE,Practitioner,https://tryhackme.com/room/res
Security Labs & CTF,Resetui,resetui,🟢 FREE,Practitioner,https://tryhackme.com/room/resetui
SOC & Detection,Runtimedetectionevasion,runtimedetectionevasion,🟢 FREE,Practitioner,https://tryhackme.com/room/runtimedetectionevasion
Security Labs & CTF,Set,set,🟢 FREE,Practitioner,https://tryhackme.com/room/set
Security Labs & CTF,Snykopensource,snykopensource,🟢 FREE,Practitioner,https://tryhackme.com/room/snykopensource
Security Labs & CTF,Sq1 Aoc2025 Fzpnrt2Sau,sq1-aoc2025-FzPnrt2SAu,🟢 FREE,Practitioner,https://tryhackme.com/room/sq1-aoc2025-FzPnrt2SAu
Security Labs & CTF,Sq2 Aoc2025 Jxiokusd9R,sq2-aoc2025-JxiOKUSD9R,🟢 FREE,Practitioner,https://tryhackme.com/room/sq2-aoc2025-JxiOKUSD9R
Security Labs & CTF,Stuxctf,stuxctf,🟢 FREE,Practitioner,https://tryhackme.com/room/stuxctf
Security Labs & CTF,Templates,templates,🟢 FREE,Practitioner,https://tryhackme.com/room/templates
Security Labs & CTF,Temple,temple,🟢 FREE,Practitioner,https://tryhackme.com/room/temple
Security Labs & CTF,Theimpossiblechallenge,theimpossiblechallenge,🟢 FREE,Practitioner,https://tryhackme.com/room/theimpossiblechallenge
Security Labs & CTF,Tmuxremux,tmuxremux,🟢 FREE,Practitioner,https://tryhackme.com/room/tmuxremux
Security Labs & CTF,Toolsrus,toolsrus,🟢 FREE,Practitioner,https://tryhackme.com/room/toolsrus
Security Labs & CTF,Vulnnet1,vulnnet1,🟢 FREE,Practitioner,https://tryhackme.com/room/vulnnet1
Security Labs & CTF,Vulnnetendgame,vulnnetendgame,🟢 FREE,Practitioner,https://tryhackme.com/room/vulnnetendgame
Security Labs & CTF,Weaponizingvulnerabilities,weaponizingvulnerabilities,🟢 FREE,Practitioner,https://tryhackme.com/room/weaponizingvulnerabilities
Security Labs & CTF,Yearofthepig,yearofthepig,🟢 FREE,Practitioner,https://tryhackme.com/room/yearofthepig
SOC & Detection,Zeekbro,zeekbro,🟢 FREE,Practitioner,https://tryhackme.com/room/zeekbro
Security Labs & CTF,25Daysofchristmas,25daysofchristmas,🟢 FREE,Practitioner,https://tryhackme.com/room/25daysofchristmas
Active Directory & Windows,Activedirectoryhardening,activedirectoryhardening,🟢 FREE,Practitioner,https://tryhackme.com/room/activedirectoryhardening
Active Directory & Windows,Adventofcyber23Sidequest,adventofcyber23sidequest,🟢 FREE,Practitioner,https://tryhackme.com/room/adventofcyber23sidequest
Security Labs & CTF,Androidhacking101,androidhacking101,🟢 FREE,Practitioner,https://tryhackme.com/room/androidhacking101
Security Labs & CTF,Androidmalwareanalysis,androidmalwareanalysis,🟢 FREE,Practitioner,https://tryhackme.com/room/androidmalwareanalysis
Security Labs & CTF,Anonymousplayground,anonymousplayground,🟢 FREE,Practitioner,https://tryhackme.com/room/anonymousplayground
Security Labs & CTF,Apt28Inthesnare,apt28inthesnare,🟢 FREE,Practitioner,https://tryhackme.com/room/apt28inthesnare
Security Labs & CTF,Atomicbirdtwo,atomicbirdtwo,🟢 FREE,Practitioner,https://tryhackme.com/room/atomicbirdtwo
Security Labs & CTF,Attackingics2,attackingics2,🟢 FREE,Practitioner,https://tryhackme.com/room/attackingics2
Security Labs & CTF,Awsapigateway,awsapigateway,🟢 FREE,Practitioner,https://tryhackme.com/room/awsapigateway
Security Labs & CTF,Awslambda,awslambda,🟢 FREE,Practitioner,https://tryhackme.com/room/awslambda
Security Labs & CTF,Basicdynamicanalysis,basicdynamicanalysis,🟢 FREE,Practitioner,https://tryhackme.com/room/basicdynamicanalysis
Security Labs & CTF,Biteme,biteme,🟢 FREE,Practitioner,https://tryhackme.com/room/biteme
Security Labs & CTF,Blog,blog,🟢 FREE,Practitioner,https://tryhackme.com/room/blog
Security Labs & CTF,Breakoutthecage1,breakoutthecage1,🟢 FREE,Practitioner,https://tryhackme.com/room/breakoutthecage1
Security Labs & CTF,Broker,broker,🟢 FREE,Practitioner,https://tryhackme.com/room/broker
Security Labs & CTF,Bsidesgtdav,bsidesgtdav,🟢 FREE,Practitioner,https://tryhackme.com/room/bsidesgtdav
Security Labs & CTF,Cactus,cactus,🟢 FREE,Practitioner,https://tryhackme.com/room/cactus
Security Labs & CTF,Chillhack,chillhack,🟢 FREE,Practitioner,https://tryhackme.com/room/chillhack
Security Labs & CTF,Chronicle,chronicle,🟢 FREE,Practitioner,https://tryhackme.com/room/chronicle
Security Labs & CTF,Cloudbasediac,cloudbasediac,🟢 FREE,Practitioner,https://tryhackme.com/room/cloudbasediac
Security Labs & CTF,Cloudenum Aoc2025 Y4U7I0O3P6,cloudenum-aoc2025-y4u7i0o3p6,🟢 FREE,Practitioner,https://tryhackme.com/room/cloudenum-aoc2025-y4u7i0o3p6
Security Labs & CTF,Committed,committed,🟢 FREE,Practitioner,https://tryhackme.com/room/committed
Security Labs & CTF,Contiransomwarehgh,contiransomwarehgh,🟢 FREE,Practitioner,https://tryhackme.com/room/contiransomwarehgh
Active Directory & Windows,Cooctusadventures,cooctusadventures,🟢 FREE,Practitioner,https://tryhackme.com/room/cooctusadventures
Security Labs & CTF,Credharvesting,credharvesting,🟢 FREE,Practitioner,https://tryhackme.com/room/credharvesting
Security Labs & CTF,Customtoolingviabrowserautomation,customtoolingviabrowserautomation,🟢 FREE,Practitioner,https://tryhackme.com/room/customtoolingviabrowserautomation
Security Labs & CTF,Cybercrafted,cybercrafted,🟢 FREE,Practitioner,https://tryhackme.com/room/cybercrafted
